Data;Último
26/01/2024;4,9168
25/01/2024;4,9165
24/01/2024;4,9335
23/01/2024;4,9535
22/01/2024;4,9892
19/01/2024;4,931
18/01/2024;4,9269
17/01/2024;4,9349
16/01/2024;4,9258
15/01/2024;4,8628
12/01/2024;4,8539
11/01/2024;4,87
10/01/2024;4,8909
09/01/2024;4,9038
08/01/2024;4,87
05/01/2024;4,8743
04/01/2024;4,8968
03/01/2024;4,9198
02/01/2024;4,9235
01/01/2024;4,8526
28/12/2023;4,8521
27/12/2023;4,8267
26/12/2023;4,814
22/12/2023;4,8585
21/12/2023;4,8844
20/12/2023;4,9163
19/12/2023;4,8675
18/12/2023;4,8967
15/12/2023;4,9371
14/12/2023;4,9155
13/12/2023;4,9197
12/12/2023;4,9631
11/12/2023;4,9386
08/12/2023;4,9317
07/12/2023;4,9115
06/12/2023;4,9022
05/12/2023;4,9306
04/12/2023;4,9432
01/12/2023;4,8801
30/11/2023;4,9205
29/11/2023;4,9029
28/11/2023;4,8705
27/11/2023;4,8964
24/11/2023;4,902
23/11/2023;4,9039
22/11/2023;4,9068
21/11/2023;4,9006
20/11/2023;4,8543
17/11/2023;4,9059
16/11/2023;4,8632
15/11/2023;4,862
14/11/2023;4,8654
13/11/2023;4,9075
10/11/2023;4,9013
09/11/2023;4,9342
08/11/2023;4,9103
07/11/2023;4,8724
06/11/2023;4,8853
03/11/2023;4,9012
01/11/2023;4,9534
31/10/2023;5,035
30/10/2023;5,0472
27/10/2023;5,0152
26/10/2023;4,9861
25/10/2023;4,9947
24/10/2023;4,9908
23/10/2023;5,0112
20/10/2023;5,0312
19/10/2023;5,0646
18/10/2023;5,0591
17/10/2023;5,0414
16/10/2023;5,0377
13/10/2023;5,0801
12/10/2023;5,046
11/10/2023;5,0483
10/10/2023;5,0516
09/10/2023;5,1355
06/10/2023;5,1457
05/10/2023;5,1658
04/10/2023;5,1562
03/10/2023;5,1669
02/10/2023;5,061
29/09/2023;5,032
28/09/2023;5,0331
27/09/2023;5,0425
26/09/2023;4,9898
25/09/2023;4,9678
22/09/2023;4,9351
21/09/2023;4,9351
20/09/2023;4,8801
19/09/2023;4,8673
18/09/2023;4,8556
15/09/2023;4,8663
14/09/2023;4,8668
13/09/2023;4,9153
12/09/2023;4,947
11/09/2023;4,9307
08/09/2023;4,9882
07/09/2023;4,9767
06/09/2023;4,9784
05/09/2023;4,9671
04/09/2023;4,9376
01/09/2023;4,9463
31/08/2023;4,9544
30/08/2023;4,889
29/08/2023;4,8523
28/08/2023;4,8731
25/08/2023;4,8711
24/08/2023;4,8802
23/08/2023;4,8572
22/08/2023;4,9386
21/08/2023;4,9793
18/08/2023;4,9694
17/08/2023;4,9758
16/08/2023;4,9879
15/08/2023;4,9845
14/08/2023;4,9615
11/08/2023;4,9048
10/08/2023;4,8924
09/08/2023;4,902
08/08/2023;4,8996
07/08/2023;4,8999
04/08/2023;4,8733
03/08/2023;4,917
02/08/2023;4,812
01/08/2023;4,7911
31/07/2023;4,7241
28/07/2023;4,7336
27/07/2023;4,7424
26/07/2023;4,7364
25/07/2023;4,7498
24/07/2023;4,7271
21/07/2023;4,7795
20/07/2023;4,798
19/07/2023;4,7909
18/07/2023;4,8105
17/07/2023;4,8066
14/07/2023;4,7894
13/07/2023;4,7971
12/07/2023;4,8184
11/07/2023;4,8538
10/07/2023;4,8978
07/07/2023;4,872
06/07/2023;4,9193
05/07/2023;4,8478
04/07/2023;4,8408
03/07/2023;4,8077
